"","parameter_name","f_n","m_n","f_intercept","f_intercept_se","f_slope","f_slope_se","m_intercept","m_intercept_se","m_slope","m_slope_se","fm_diff_int","fm_diff_int_se","fm_diff_int_p","fm_diff_slope","fm_diff_slope_se","fm_diff_slope_p","group_sd","f_sd","m_sd","Category","parameter_group","lnVR","VlnVR","low_lnVR","high_lnVR","t_val_sd","p_val_sd","Scen"
"284","pdcs",841,830,-0.034468341,0.198349594,0.134390507,0.330137727,-0.098477943,0.198808003,0.305362453,0.317663352,0.064009601,0.043492107,0.141277145,-0.170971946,0.403556282,0.671866278,0.478433753,0.854008457,0.921482446,"Immunology","pdcs",-0.0760505292161447,0.00119837440404389,-0.0783992998880653,-0.073701758544224,-2.19687819515844,0.0281661973522835,"D"
"285","rp macrophage (f4/80+)",269,259,0.032634167,0.161093475,-0.259545525,0.69919134,0.155916399,0.159986646,0.314642678,0.559308882,-0.123282232,0.08553394,0.150092404,-0.574188204,0.727932762,0.430591144,0.25348392,1.026584292,0.936615733,"Immunology","rp macrophage (f4/80+)",0.091646941560141,0.00380365613791508,0.0841919125202527,0.0991019706000292,1.48599501330837,0.137879540439464,"D"
"286","t cells (panel a)",725,716,-0.119042422,0.139722741,-0.446645817,0.406808992,-0.18637516,0.140257956,0.011165232,0.372084921,0.067332737,0.050581742,0.183346009,-0.457811048,0.497083307,0.357208366,0.327615493,0.939090879,0.979598584,"Immunology","t cells",-0.042239315280789,0.00138990843410733,-0.0449634857534478,-0.0395151448081302,-1.13298399354926,0.257409709553459,"D"
"287","t cells (panel b)",782,776,0.1982769,0.160216169,-1.499221274,0.37933986,0.132769637,0.16036684,-0.936014526,0.336126916,0.065507263,0.046727886,0.161149041,-0.563206748,0.445610329,0.206456206,0.38149786,0.920237271,0.923516022,"Immunology","t cells",-0.0035615650758811,0.00128536615587956,-0.00608083644835173,-0.00104229370341047,-0.0993407544047761,0.920880517405617,"D"
"288","transitional b cells (cd21/35 low)",497,500,0.143618328,0.438107063,0.454775316,0.516512387,0.201865947,0.438244842,0.442296587,0.470391002,-0.058247619,0.058495624,0.319609704,0.012478729,0.670758663,0.985160834,0.754024925,0.90508568,0.941650992,"Immunology","B cells",-0.0395990353502894,0.00201006852414506,-0.0435386972640713,-0.0356593734365075,-0.883240906831014,0.377319470245393,"D"
"289","respiratory exchange ratio",2955,6590,0.19935114,0.157486303,-1.332052232,0.190393588,0.166393831,0.156990222,-1.018835926,0.120008884,0.032957311,0.020806344,0.11322623,-0.313216316,0.212538658,0.140597836,0.605187791,0.819166788,0.860778557,"Metabolism","respiration rate",-0.0494561891092826,0.000245146066776114,-0.0499366665711155,-0.0489757116474498,-3.15869856820589,0.00158969650329732,"D"
"290","number of caudal vertebrae",2960,2894,-1.351949476,0.433046357,0.183842177,0.075912847,-1.357603874,0.433048525,0.381236348,0.076731181,0.005654398,0.010541612,0.591710618,-0.197394171,0.106242724,0.063225716,1.29840988,0.406754766,0.3995952,"Morphology","number of caudal vertebrae",0.0177545736454071,0.000341806976717291,0.0170846442813767,0.0184245030094375,0.960328430244619,0.336929621335704,"D"
"291","number of cervical vertebrae",4878,4835,0.017228075,0.018784478,0.010019899,0.14499005,0.01718618,0.018955519,0.027816511,0.138166511,4.19e-05,0.020293978,0.998352907,-0.017796612,0.198208989,0.928458246,0.022711759,0.997695902,1.002240395,"Morphology","number of cervical vertebrae",-0.00454555754239442,0.000205956051341274,-0.0049492239854214,-0.00414189109936744,-0.31673778951276,0.751449380498536,"D"
"292","number of digits",5933,5886,0.016745192,0.020156795,0.080209601,0.149942809,0.013080546,0.018753419,0.126280008,0.121635019,0.003664646,0.018380534,0.841971713,-0.046070407,0.190366704,0.808777591,0.033547036,1.082968703,0.908168103,"Morphology","number of digits",0.176031178061719,0.000169250371385473,0.175699453429434,0.176362902694005,13.5308406747682,0,"D"
"293","number of pelvic vertebrae",4880,4835,-0.021043929,0.013607471,0.142695369,0.119590238,0.013361658,0.017812425,0.240328877,0.157169076,-0.034405587,0.020315934,0.090387269,-0.097633509,0.196743066,0.619730134,0.010548858,0.828924227,1.146626492,"Morphology","number of pelvic vertebrae",-0.32445163096901,0.000205914025498995,-0.3248552150429,-0.32404804689512,-22.6103350097458,0,"D"
"294","number of ribs left",6018,5962,0.006202704,0.020167267,0.194956344,0.137719518,-0.025691464,0.020231121,0.102398569,0.130997092,0.031894169,0.018256333,0.080659628,0.092557775,0.187527336,0.621619299,0.036621986,1.002147961,0.995929453,"Morphology","number of ribs",0.00622373100268876,0.00016697643318209,0.00589646320738491,0.00655099879799262,0.481640749742432,0.630069972237386,"D"
"295","number of ribs right",6018,5962,0.015162301,0.020971476,-0.115702546,0.125649324,-0.005929798,0.02240909,-0.138248467,0.14223584,0.021092099,0.018270047,0.248333338,0.022545921,0.187049116,0.904061566,0.043154079,0.909160023,1.082080375,"Morphology","number of ribs",-0.174120399447873,0.00016697643318209,-0.174447667243176,-0.173793131652569,-13.4747918409865,0,"D"
"296","number of thoracic vertebrae",4878,4835,-0.000327472,0.014444429,0.029703585,0.142896924,-0.00020502,0.014573587,-0.058909147,0.137151223,-0.000122452,0.020296825,0.995186475,0.088612732,0.19798494,0.654471323,0.003105867,0.997946444,1.002351311,"Morphology","number of thoracic vertebrae",-0.00440513039798314,0.000205956051341274,-0.00480879684101012,-0.00400146395495616,-0.30695272290793,0.75888593928972,"D"
"297","free fatty acids",3292,3368,0.73063734,0.343112115,0.343752004,0.070908631,0.751776345,0.34312014,0.260135588,0.068934056,-0.021139005,0.011370415,0.06305377,0.083616416,0.080709722,0.300233202,0.906272244,0.46003799,0.467554945,"Physiology","free fatty acids",-0.016204368848709,0.000300429653209963,-0.0167932001488884,-0.0156155375485296,-0.934890446742473,0.349878665950391,"D"
